Trade ID,Trade Date,Trade Time,Instrument,Symbol,Expiry Date,Strike,Option Type,Lot Size,Quantity,Buy Price,Sell Price,Buy Value,Sell Value,Gross P&L,Brokerage,STT,Exchange Charges,GST,SEBI Charges,Stamp Duty,Total Charges,Net P&L,Realized P&L %,Running Capital,Trade Duration,Market Regime,Trade Outcome
TRD0001,03-Nov-2025,10:05:27,BANKNIFTY,BANKNIFTY25NOV202552400CE,25-Nov-2025,52400,CE,15,660,461.0,699.15,304260.0,461439.0,157179.0,153.14,288.4,38.28,34.46,0.77,9.13,524.17,156654.83,51.49,4956654.83,122m,SIDEWAYS,WIN
TRD0002,03-Nov-2025,12:03:36,NIFTY,NIFTY04NOV202523450PE,04-Nov-2025,23450,PE,25,2500,54.0,76.32,135000.0,190800.0,55800.0,65.16,119.25,16.29,14.66,0.33,4.05,219.74,55580.26,41.17,5012235.09,164m,SIDEWAYS,WIN
TRD0003,04-Nov-2025,14:11:06,NIFTY,NIFTY04NOV202523650CE,04-Nov-2025,23650,CE,25,2500,32.0,19.93,80000.0,49825.0,-30175.0,25.96,31.14,6.49,5.84,0.13,2.4,71.97,-30246.97,-37.81,4981988.12,42m,SIDEWAYS,LOSS
TRD0004,04-Nov-2025,13:27:49,NIFTY,NIFTY04NOV202523700CE,04-Nov-2025,23700,CE,25,2500,31.0,20.1,77500.0,50250.0,-27250.0,25.55,31.41,6.39,5.75,0.13,2.33,71.55,-27321.55,-35.25,4954666.57,25m,SIDEWAYS,LOSS
TRD0005,06-Nov-2025,11:21:46,NIFTY,NIFTY11NOV202523250CE,11-Nov-2025,23250,CE,25,2500,126.0,70.11,315000.0,175275.0,-139725.0,98.06,109.55,24.51,22.06,0.49,9.45,264.12,-139989.12,-44.44,4814677.45,33m,SIDEWAYS,LOSS
TRD0006,06-Nov-2025,11:42:04,SENSEX,SENSEX06NOV202577700CE,06-Nov-2025,77700,CE,10,1000,106.0,205.97,106000.0,205970.0,99970.0,62.39,128.73,15.6,14.04,0.31,3.18,224.25,99745.75,94.1,4914423.2,157m,SIDEWAYS,WIN
TRD0007,07-Nov-2025,14:30:44,NIFTY,NIFTY11NOV202523100PE,11-Nov-2025,23100,PE,25,2500,109.0,53.41,272500.0,133525.0,-138975.0,81.2,83.45,20.3,18.27,0.41,8.18,211.81,-139186.81,-51.08,4775236.39,47m,SIDEWAYS,LOSS
TRD0008,07-Nov-2025,10:42:22,BANKNIFTY,BANKNIFTY25NOV202551600PE,25-Nov-2025,51600,PE,15,450,599.0,769.89,269550.0,346450.5,76900.5,123.2,216.53,30.8,27.72,0.62,8.09,406.95,76493.55,28.38,4851729.94,20m,SIDEWAYS,WIN
TRD0009,07-Nov-2025,10:55:31,NIFTY,NIFTY11NOV202523600CE,11-Nov-2025,23600,CE,25,2500,93.0,47.93,232500.0,119825.0,-112675.0,70.47,74.89,17.62,15.85,0.35,6.98,186.15,-112861.15,-48.54,4738868.79,10m,SIDEWAYS,LOSS
TRD0010,10-Nov-2025,10:24:14,NIFTY,NIFTY11NOV202523800CE,11-Nov-2025,23800,CE,25,2500,61.0,81.35,152500.0,203375.0,50875.0,71.17,127.11,17.79,16.01,0.36,4.58,237.02,50637.98,33.21,4789506.77,53m,SIDEWAYS,WIN
TRD0011,10-Nov-2025,09:49:23,NIFTY,NIFTY11NOV202523600CE,11-Nov-2025,23600,CE,25,2500,59.0,75.77,147500.0,189425.0,41925.0,67.39,118.39,16.85,15.16,0.34,4.42,222.55,41702.45,28.27,4831209.22,171m,SIDEWAYS,WIN
TRD0012,11-Nov-2025,12:25:25,BANKNIFTY,BANKNIFTY25NOV202552000CE,25-Nov-2025,52000,CE,15,525,498.0,263.87,261450.0,138531.75,-122918.25,80.0,86.58,20.0,18.0,0.4,7.84,212.82,-123131.07,-47.1,4708078.15,30m,SIDEWAYS,LOSS
TRD0013,11-Nov-2025,12:06:00,BANKNIFTY,BANKNIFTY25NOV202551800CE,25-Nov-2025,51800,CE,15,615,514.0,627.43,316110.0,385869.45,69759.45,140.4,241.17,35.1,31.59,0.7,9.48,458.44,69301.01,21.92,4777379.16,160m,SIDEWAYS,WIN
TRD0014,11-Nov-2025,12:22:38,NIFTY,NIFTY11NOV202523350PE,11-Nov-2025,23350,PE,25,2500,31.0,48.12,77500.0,120300.0,42800.0,39.56,75.19,9.89,8.9,0.2,2.33,136.06,42663.94,55.05,4820043.1,108m,SIDEWAYS,WIN
TRD0015,12-Nov-2025,13:30:53,BANKNIFTY,BANKNIFTY25NOV202551700PE,25-Nov-2025,51700,PE,15,960,392.0,571.29,376320.0,548438.4,172118.4,184.95,342.77,46.24,41.61,0.92,11.29,627.79,171490.61,45.57,4991533.71,192m,SIDEWAYS,WIN
TRD0016,12-Nov-2025,15:55:05,NIFTY,NIFTY18NOV202523250PE,18-Nov-2025,23250,PE,25,2500,130.0,178.8,325000.0,447000.0,122000.0,154.4,279.38,38.6,34.74,0.77,9.75,517.64,121482.36,37.38,5113016.07,193m,SIDEWAYS,WIN
TRD0017,13-Nov-2025,10:51:50,SENSEX,SENSEX13NOV202577200PE,13-Nov-2025,77200,PE,10,1000,127.0,192.97,127000.0,192970.0,65970.0,63.99,120.61,16.0,14.4,0.32,3.81,219.13,65750.87,51.77,5178766.94,64m,SIDEWAYS,WIN
TRD0018,13-Nov-2025,13:30:16,BANKNIFTY,BANKNIFTY25NOV202552600CE,25-Nov-2025,52600,CE,15,765,404.0,182.85,309060.0,139880.25,-169179.75,89.79,87.43,22.45,20.2,0.45,9.27,229.58,-169409.33,-54.81,5009357.61,17m,SIDEWAYS,LOSS
TRD0019,13-Nov-2025,09:21:14,SENSEX,SENSEX13NOV202577100PE,13-Nov-2025,77100,PE,10,1000,137.0,62.52,137000.0,62520.0,-74480.0,39.9,39.08,9.98,8.98,0.2,4.11,102.24,-74582.24,-54.44,4934775.37,35m,SIDEWAYS,LOSS
TRD0020,14-Nov-2025,13:24:50,BANKNIFTY,BANKNIFTY25NOV202552200CE,25-Nov-2025,52200,CE,15,705,410.0,496.66,289050.0,350145.3,61095.3,127.84,218.84,31.96,28.76,0.64,8.67,416.71,60678.59,20.99,4995453.96,197m,SIDEWAYS,WIN
TRD0021,14-Nov-2025,13:29:25,BANKNIFTY,BANKNIFTY25NOV202552200CE,25-Nov-2025,52200,CE,15,990,407.0,188.63,402930.0,186743.7,-216186.3,117.93,116.71,29.48,26.54,0.59,12.09,303.35,-216489.65,-53.73,4778964.31,52m,SIDEWAYS,LOSS
TRD0022,17-Nov-2025,12:38:30,NIFTY,NIFTY18NOV202523800CE,18-Nov-2025,23800,CE,25,2500,55.0,29.48,137500.0,73700.0,-63800.0,42.24,46.06,10.56,9.5,0.21,4.12,112.7,-63912.7,-46.48,4715051.61,47m,SIDEWAYS,LOSS
TRD0023,17-Nov-2025,13:08:27,NIFTY,NIFTY18NOV202523800CE,18-Nov-2025,23800,CE,25,2500,59.0,39.78,147500.0,99450.0,-48050.0,49.39,62.16,12.35,11.11,0.25,4.42,139.68,-48189.68,-32.67,4666861.93,60m,SIDEWAYS,LOSS
TRD0024,17-Nov-2025,10:26:53,SENSEX,SENSEX20NOV202577200CE,20-Nov-2025,77200,CE,10,1000,273.0,381.38,273000.0,381380.0,108380.0,130.88,238.36,32.72,29.45,0.65,8.19,440.25,107939.75,39.54,4774801.68,48m,SIDEWAYS,WIN
TRD0025,18-Nov-2025,11:55:28,SENSEX,SENSEX20NOV202576700PE,20-Nov-2025,76700,PE,10,1000,287.0,190.01,287000.0,190010.0,-96990.0,95.4,118.76,23.85,21.47,0.48,8.61,268.56,-97258.56,-33.89,4677543.12,54m,SIDEWAYS,LOSS
TRD0026,18-Nov-2025,10:33:33,NIFTY,NIFTY18NOV202523650CE,18-Nov-2025,23650,CE,25,2500,36.5,61.27,91250.0,153175.0,61925.0,48.89,95.73,12.22,11.0,0.24,2.74,170.82,61754.18,67.68,4739297.3,157m,SIDEWAYS,WIN
TRD0027,19-Nov-2025,12:48:57,SENSEX,SENSEX20NOV202578000CE,20-Nov-2025,78000,CE,10,1000,158.0,90.55,158000.0,90550.0,-67450.0,49.71,56.59,12.43,11.18,0.25,4.74,134.9,-67584.9,-42.78,4671712.4,9m,SIDEWAYS,LOSS
TRD0028,19-Nov-2025,14:44:33,BANKNIFTY,BANKNIFTY25NOV202553000CE,25-Nov-2025,53000,CE,15,1065,285.0,386.71,303525.0,411846.15,108321.15,143.07,257.4,35.77,32.19,0.72,9.11,478.26,107842.89,35.53,4779555.29,81m,SIDEWAYS,WIN
TRD0029,20-Nov-2025,10:04:13,NIFTY,NIFTY25NOV202523450PE,25-Nov-2025,23450,PE,25,2500,100.0,68.19,250000.0,170475.0,-79525.0,84.09,106.55,21.02,18.92,0.42,7.5,238.51,-79763.51,-31.91,4699791.78,47m,SIDEWAYS,LOSS
TRD0030,20-Nov-2025,09:44:14,NIFTY,NIFTY25NOV202523950CE,25-Nov-2025,23950,CE,25,2500,127.0,161.75,317500.0,404375.0,86875.0,144.38,252.73,36.09,32.48,0.72,9.53,475.93,86399.07,27.21,4786190.85,39m,SIDEWAYS,WIN
TRD0031,20-Nov-2025,09:35:05,BANKNIFTY,BANKNIFTY25NOV202552000CE,25-Nov-2025,52000,CE,15,1260,251.0,327.67,316260.0,412864.2,96604.2,145.82,258.04,36.46,32.81,0.73,9.49,483.35,96120.85,30.39,4882311.7,199m,SIDEWAYS,WIN
TRD0032,21-Nov-2025,09:29:56,BANKNIFTY,BANKNIFTY25NOV202552900CE,25-Nov-2025,52900,CE,15,1500,237.0,363.91,355500.0,545865.0,190365.0,180.27,341.17,45.07,40.56,0.9,10.67,618.63,189746.37,53.37,5072058.07,41m,SIDEWAYS,WIN
TRD0033,21-Nov-2025,14:16:25,NIFTY,NIFTY25NOV202523800CE,25-Nov-2025,23800,CE,25,2500,90.0,136.55,225000.0,341375.0,116375.0,113.28,213.36,28.32,25.49,0.57,6.75,387.76,115987.24,51.55,5188045.31,53m,SIDEWAYS,WIN
TRD0034,24-Nov-2025,09:16:40,BANKNIFTY,BANKNIFTY25NOV202552000PE,25-Nov-2025,52000,PE,15,1500,96.0,128.39,144000.0,192585.0,48585.0,67.32,120.37,16.83,15.15,0.34,4.32,224.31,48360.69,33.58,5236406.0,37m,SIDEWAYS,WIN
TRD0035,24-Nov-2025,12:17:39,NIFTY,NIFTY25NOV202524050CE,25-Nov-2025,24050,CE,25,2500,61.0,37.53,152500.0,93825.0,-58675.0,49.27,58.64,12.32,11.08,0.25,4.58,136.13,-58811.13,-38.56,5177594.87,13m,SIDEWAYS,LOSS
TRD0036,25-Nov-2025,11:13:18,SENSEX,SENSEX27NOV202577800CE,27-Nov-2025,77800,CE,10,1000,213.0,115.62,213000.0,115620.0,-97380.0,65.72,72.26,16.43,14.79,0.33,6.39,175.92,-97555.92,-45.8,5080038.95,33m,SIDEWAYS,LOSS
TRD0037,25-Nov-2025,11:12:32,NIFTY,NIFTY25NOV202523300PE,25-Nov-2025,23300,PE,25,2500,45.5,59.19,113750.0,147975.0,34225.0,52.35,92.48,13.09,11.78,0.26,3.41,173.37,34051.63,29.94,5114090.58,136m,SIDEWAYS,WIN
TRD0038,26-Nov-2025,10:13:14,BANKNIFTY,BANKNIFTY30DEC202551500PE,30-Dec-2025,51500,PE,15,405,700.0,1077.31,283500.0,436310.55,152810.55,143.96,272.69,35.99,32.39,0.72,8.51,494.26,152316.29,53.73,5266406.87,102m,SIDEWAYS,WIN
TRD0039,26-Nov-2025,09:31:27,SENSEX,SENSEX27NOV202578600CE,27-Nov-2025,78600,CE,10,1000,164.0,201.4,164000.0,201400.0,37400.0,73.08,125.88,18.27,16.44,0.37,4.92,238.95,37161.05,22.66,5303567.92,56m,SIDEWAYS,WIN
TRD0040,27-Nov-2025,10:00:16,NIFTY,NIFTY02DEC202523250PE,02-Dec-2025,23250,PE,25,2500,128.0,83.67,320000.0,209175.0,-110825.0,105.84,130.73,26.46,23.81,0.53,9.6,296.97,-111121.97,-34.73,5192445.95,28m,SIDEWAYS,LOSS
TRD0041,27-Nov-2025,09:39:05,SENSEX,SENSEX27NOV202577000PE,27-Nov-2025,77000,PE,10,1000,146.0,89.18,146000.0,89180.0,-56820.0,47.04,55.74,11.76,10.58,0.24,4.38,129.73,-56949.73,-39.01,5135496.22,35m,SIDEWAYS,LOSS
TRD0042,28-Nov-2025,10:19:19,NIFTY,NIFTY02DEC202523800CE,02-Dec-2025,23800,CE,25,2500,119.0,65.84,297500.0,164600.0,-132900.0,92.42,102.88,23.11,20.79,0.46,8.93,248.58,-133148.58,-44.76,5002347.64,45m,SIDEWAYS,LOSS
TRD0043,28-Nov-2025,10:31:09,BANKNIFTY,BANKNIFTY30DEC202553200CE,30-Dec-2025,53200,CE,15,390,731.0,967.93,285090.0,377492.7,92402.7,132.52,235.93,33.13,29.82,0.66,8.55,440.61,91962.09,32.26,5094309.73,87m,SIDEWAYS,WIN
TRD0044,01-Dec-2025,11:53:52,NIFTY,NIFTY02DEC202523500PE,02-Dec-2025,23500,PE,25,2500,61.0,34.71,152500.0,86775.0,-65725.0,47.86,54.23,11.96,10.77,0.24,4.58,129.63,-65854.63,-43.18,5028455.1,56m,SIDEWAYS,LOSS
TRD0045,01-Dec-2025,10:28:35,BANKNIFTY,BANKNIFTY30DEC202553100CE,30-Dec-2025,53100,CE,15,600,518.0,795.14,310800.0,477084.0,166284.0,157.58,298.18,39.39,35.45,0.79,9.32,540.72,165743.28,53.33,5194198.38,27m,SIDEWAYS,WIN
TRD0046,01-Dec-2025,11:34:05,BANKNIFTY,BANKNIFTY30DEC202553300CE,30-Dec-2025,53300,CE,15,585,513.0,263.13,300105.0,153931.05,-146173.95,90.81,96.21,22.7,20.43,0.45,9.0,239.6,-146413.55,-48.79,5047784.83,38m,SIDEWAYS,LOSS
TRD0047,02-Dec-2025,12:29:31,NIFTY,NIFTY02DEC202523900CE,02-Dec-2025,23900,CE,25,2500,34.0,21.84,85000.0,54600.0,-30400.0,27.92,34.12,6.98,6.28,0.14,2.55,78.0,-30478.0,-35.86,5017306.83,59m,SIDEWAYS,LOSS
TRD0048,02-Dec-2025,09:31:41,BANKNIFTY,BANKNIFTY30DEC202551900PE,30-Dec-2025,51900,PE,15,465,661.0,798.93,307365.0,371502.45,64137.45,135.77,232.19,33.94,30.55,0.68,9.22,442.35,63695.1,20.72,5081001.93,192m,SIDEWAYS,WIN
TRD0049,03-Dec-2025,11:45:33,NIFTY,NIFTY09DEC202524100CE,09-Dec-2025,24100,CE,25,2500,156.0,100.71,390000.0,251775.0,-138225.0,128.36,157.36,32.09,28.88,0.64,11.7,359.02,-138584.02,-35.53,4942417.91,23m,SIDEWAYS,LOSS
TRD0050,03-Dec-2025,11:18:29,BANKNIFTY,BANKNIFTY30DEC202553100CE,30-Dec-2025,53100,CE,15,555,632.0,765.84,350760.0,425041.2,74281.2,155.16,265.65,38.79,34.91,0.78,10.52,505.81,73775.39,21.03,5016193.3,34m,SIDEWAYS,WIN
TRD0051,04-Dec-2025,09:48:16,BANKNIFTY,BANKNIFTY30DEC202552100PE,30-Dec-2025,52100,PE,15,390,703.0,478.99,274170.0,186806.1,-87363.9,92.2,116.75,23.05,20.74,0.46,8.23,261.43,-87625.33,-31.96,4928567.97,28m,SIDEWAYS,LOSS
