Trade Date,Symbol,Quantity,Buy Value,Sell Value,Realized P&L,Charges,Net P&L,Realized P&L Pct
2025-11-03,SENSEX25NOV81400CE,1794,4539227.11,4531641.99,-7585.11,11208.81,-18793.92,-0.41
2025-11-03,SENSEX25NOV85000CE,8953,4602042.83,4651416.29,49373.46,11468.33,37905.13,0.82
2025-11-04,BANKNIFTY25NOV49200PE,9803,4193286.63,4152118.44,-41168.19,10295.28,-51463.47,-1.23
2025-11-04,BANKNIFTY25NOV49300CE,7617,4786277.97,4759804.69,-26473.28,11782.28,-38255.56,-0.8
2025-11-04,SENSEX25NOV82900PE,2815,4430154.04,4408399.99,-21754.04,10914.19,-32668.23,-0.74
2025-11-06,SENSEX25NOV83500PE,7628,4379278.33,4373162.38,-6115.96,10817.72,-16933.68,-0.39
2025-11-06,NIFTY25NOV24200CE,9766,4006518.6,4003253.37,-3265.23,9905.24,-13170.47,-0.33
2025-11-06,SENSEX25NOV76900CE,5293,4370904.44,4358846.97,-12057.46,10786.17,-22843.63,-0.52
2025-11-07,SENSEX25NOV82200PE,6943,4763607.15,4755409.55,-8197.6,11760.11,-19957.71,-0.42
2025-11-07,BANKNIFTY25NOV53500CE,9362,4166330.59,4200936.04,34605.45,10368.41,24237.04,0.58
2025-11-10,SENSEX25NOV79400PE,1524,4005947.72,3966973.01,-38974.71,9838.09,-48812.8,-1.22
2025-11-10,SENSEX25NOV76700CE,8546,4838575.64,4801869.98,-36705.66,11892.2,-48597.86,-1.0
2025-11-10,BANKNIFTY25NOV53600CE,9967,4924409.22,4895146.14,-29263.08,12117.22,-41380.3,-0.84
2025-11-10,BANKNIFTY25NOV50400CE,6110,4081220.82,4051211.42,-30009.4,10039.92,-40049.32,-0.98
2025-11-11,BANKNIFTY25NOV52300PE,4154,4998559.76,4999941.09,1381.33,12356.2,-10974.87,-0.22
2025-11-11,BANKNIFTY25NOV49300PE,5096,4090629.02,4134753.99,44124.97,10199.56,33925.41,0.83
2025-11-11,NIFTY25NOV22600PE,6229,4112192.64,4160427.46,48234.81,10260.22,37974.59,0.92
2025-11-11,NIFTY25NOV26000PE,1198,4653309.67,4693463.29,40153.62,11577.57,28576.05,0.61
2025-11-12,BANKNIFTY25NOV52200CE,5476,4044458.08,4032380.47,-12077.61,9982.42,-22060.03,-0.55
2025-11-12,NIFTY25NOV22800PE,6478,4552337.08,4556930.34,4593.26,11263.51,-6670.25,-0.15
2025-11-12,BANKNIFTY25NOV52000CE,7606,4345544.33,4335763.88,-9780.45,10727.92,-20508.37,-0.47
2025-11-13,BANKNIFTY25NOV48700PE,3389,4216147.51,4238563.58,22416.07,10468.62,11947.45,0.28
2025-11-13,SENSEX25NOV83500PE,4316,4023781.82,4060203.73,36421.91,10020.8,26401.11,0.66
2025-11-14,BANKNIFTY25NOV52300PE,6215,4208924.11,4204965.18,-3958.93,10402.28,-14361.21,-0.34
2025-11-14,NIFTY25NOV24900PE,8129,4734774.69,4709128.86,-25645.83,11657.0,-37302.83,-0.79
2025-11-14,SENSEX25NOV80600PE,6613,4751352.97,4733003.32,-18349.66,11711.25,-30060.91,-0.63
2025-11-14,NIFTY25NOV24900CE,4349,4666664.68,4644564.91,-22099.77,11495.84,-33595.61,-0.72
2025-11-17,BANKNIFTY25NOV52700CE,3350,4667288.27,4698524.19,31235.92,11595.57,19640.35,0.42
2025-11-17,SENSEX25NOV76100PE,2985,4035605.2,4079106.25,43501.05,10062.95,33438.1,0.83
2025-11-17,BANKNIFTY25NOV52500PE,3405,4338962.29,4365787.02,26824.73,10779.11,16045.62,0.37
2025-11-18,NIFTY25NOV23400CE,9710,4357002.98,4369374.98,12372.01,10796.92,1575.09,0.04
2025-11-18,BANKNIFTY25NOV48800CE,4144,4651244.13,4617059.6,-34184.53,11435.63,-45620.16,-0.98
2025-11-18,NIFTY25NOV22600CE,9375,4985636.3,5024821.8,39185.5,12393.98,26791.52,0.54
2025-11-19,NIFTY25NOV22700CE,3111,4576887.87,4576040.19,-847.69,11313.94,-12161.63,-0.27
2025-11-19,BANKNIFTY25NOV50500CE,2495,4448352.01,4462685.73,14333.73,11025.43,3308.3,0.07
2025-11-19,NIFTY25NOV22600PE,9695,4700024.45,4662668.19,-37356.26,11549.89,-48906.15,-1.04
2025-11-19,SENSEX25NOV82100PE,7363,4288224.8,4259564.94,-28659.86,10552.05,-39211.91,-0.91
2025-11-20,NIFTY25NOV23900PE,1531,4935698.07,4922734.48,-12963.59,12175.02,-25138.61,-0.51
2025-11-20,BANKNIFTY25NOV48900CE,4283,4897819.55,4896410.69,-1408.86,12103.04,-13511.9,-0.28
2025-11-20,BANKNIFTY25NOV52800CE,4173,4495503.74,4499649.34,4145.6,11122.76,-6977.16,-0.16
2025-11-20,NIFTY25NOV23900PE,1630,4756117.92,4725421.94,-30695.97,11700.25,-42396.22,-0.89
2025-11-21,BANKNIFTY25NOV51900PE,7050,4592659.67,4608837.36,16177.68,11384.11,4793.57,0.1
2025-11-21,NIFTY25NOV23100CE,5945,4849842.47,4804905.77,-44936.7,11904.78,-56841.48,-1.17
2025-11-21,BANKNIFTY25NOV48200PE,1732,4371310.13,4405860.56,34550.43,10872.97,23677.46,0.54
2025-11-24,SENSEX25NOV77300PE,2708,4125467.54,4172699.27,47231.73,10291.05,36940.68,0.9
2025-11-24,BANKNIFTY25NOV50300CE,8183,4687676.2,4714632.77,26956.58,11637.89,15318.69,0.33
2025-11-25,SENSEX25NOV81200PE,9459,4397337.3,4423718.71,26381.42,10922.01,15459.41,0.35
2025-11-25,NIFTY25NOV22300CE,9610,4919712.58,4911855.91,-7856.67,12145.07,-20001.74,-0.41
2025-11-25,BANKNIFTY25NOV50900PE,9026,4713000.56,4664715.04,-48285.52,11561.71,-59847.23,-1.27
2025-11-25,NIFTY25NOV22800PE,8863,4623269.0,4587268.12,-36000.88,11363.41,-47364.29,-1.02
2025-11-26,NIFTY25NOV24900PE,9868,4621377.88,4621827.68,449.8,11425.86,-10976.06,-0.24
2025-11-26,NIFTY25NOV25500CE,3696,4814456.76,4848965.32,34508.57,11963.92,22544.65,0.47
2025-11-27,SENSEX25NOV75600PE,3833,4957889.28,4982090.64,24201.35,12298.08,11903.27,0.24
2025-11-27,NIFTY25NOV23600CE,1208,4741194.64,4750844.6,9649.96,11737.79,-2087.83,-0.04
2025-11-27,SENSEX25NOV82200CE,5706,4529110.19,4539488.42,10378.23,11216.98,-838.75,-0.02
2025-11-27,NIFTY25NOV22800CE,2430,4552351.24,4576099.55,23748.31,11298.81,12449.5,0.27
2025-11-28,BANKNIFTY25NOV49100CE,9189,4119360.73,4094424.12,-24936.62,10143.16,-35079.78,-0.85
2025-11-28,NIFTY25NOV23000PE,8880,4185657.99,4187774.66,2116.67,10356.19,-8239.52,-0.2
2025-12-01,NIFTY25DEC22900PE,6277,4668652.36,4619379.6,-49272.75,11450.71,-60723.46,-1.3
2025-12-01,SENSEX25DEC80200CE,3610,4230361.74,4269104.11,38742.36,10533.68,28208.68,0.67
2025-12-01,SENSEX25DEC79200PE,3405,4638129.9,4608171.93,-29957.97,11411.12,-41369.09,-0.89
2025-12-01,BANKNIFTY25DEC49400PE,7300,4939795.31,4975884.24,36088.93,12275.42,23813.51,0.48
2025-12-02,SENSEX25DEC75100PE,3385,4422248.58,4455749.66,33501.08,10996.45,22504.63,0.51
2025-12-02,BANKNIFTY25DEC49300PE,3959,4108219.11,4102764.95,-5454.16,10151.59,-15605.75,-0.38
2025-12-02,NIFTY25DEC22500PE,3053,4493467.49,4502158.46,8690.96,11126.12,-2435.16,-0.05
2025-12-03,SENSEX25DEC82600PE,3103,4011619.09,3988128.71,-23490.38,9880.56,-33370.94,-0.83
2025-12-03,SENSEX25DEC76000CE,6802,4060989.89,4085451.04,24461.14,10090.39,14370.75,0.35
2025-12-03,NIFTY25DEC23100CE,6042,4204885.51,4245480.35,40594.84,10474.36,30120.48,0.72
2025-12-04,BANKNIFTY25DEC52400CE,9657,4504114.19,4533991.45,29877.26,11191.33,18685.93,0.41
2025-12-04,BANKNIFTY25DEC50900CE,1201,4231277.48,4223464.97,-7812.51,10450.22,-18262.73,-0.43
2025-12-04,BANKNIFTY25DEC52200PE,2133,4309400.68,4313259.32,3858.65,10664.05,-6805.4,-0.16
2025-12-05,NIFTY25DEC24300PE,1645,4695774.34,4684750.95,-11023.39,11587.9,-22611.29,-0.48
2025-12-05,NIFTY25DEC24900PE,1955,4571289.86,4622041.06,50751.19,11395.15,39356.04,0.86
2025-12-05,NIFTY25DEC25400CE,4564,4299849.41,4279398.73,-20450.68,10595.78,-31046.46,-0.72
2025-12-05,BANKNIFTY25DEC49700CE,9432,4904886.05,4872454.68,-32431.37,12063.32,-44494.69,-0.91
2025-12-08,SENSEX25DEC79000PE,7794,4616422.55,4660379.76,43957.21,11493.76,32463.45,0.7
2025-12-08,BANKNIFTY25DEC52200CE,3384,4373048.67,4359332.82,-13715.85,10788.39,-24504.24,-0.56
2025-12-09,BANKNIFTY25DEC53000CE,4853,4370931.31,4402211.83,31280.52,10866.02,20414.5,0.47
2025-12-09,NIFTY25DEC23900PE,6065,4074470.97,4090365.47,15894.5,10107.81,5786.69,0.14
